CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,Country,ProductDiversity,AvgBasketValue
12346.0,326,1,77183.6,2011-01-18 10:01:00,United Kingdom,1,77183.6
12347.0,2,7,4310.0,2011-12-07 15:52:00,Iceland,103,615.7142857142857
12348.0,75,4,1797.24,2011-09-25 13:13:00,Finland,22,449.31
12349.0,19,1,1757.55,2011-11-21 09:51:00,Italy,73,1757.55
12350.0,310,1,334.4,2011-02-02 16:01:00,Norway,17,334.4
12352.0,36,8,2506.04,2011-11-03 14:37:00,Norway,59,313.255
12353.0,204,1,89.0,2011-05-19 17:47:00,Bahrain,4,89.0
12354.0,232,1,1079.4,2011-04-21 13:11:00,Spain,58,1079.4
12355.0,214,1,459.4,2011-05-09 13:49:00,Bahrain,13,459.4
12356.0,23,3,2811.43,2011-11-17 08:40:00,Portugal,53,937.1433333333333
12357.0,33,1,6207.67,2011-11-06 16:07:00,Switzerland,131,6207.67
12358.0,2,2,1168.06,2011-12-08 10:26:00,Austria,13,584.03
12359.0,58,4,6372.58,2011-10-13 12:47:00,Cyprus,214,1593.145
12360.0,52,3,2662.06,2011-10-18 15:22:00,Austria,105,887.3533333333334
12361.0,287,1,189.9,2011-02-25 13:51:00,Belgium,10,189.9
12362.0,3,10,5226.23,2011-12-06 15:40:00,Belgium,201,522.6229999999999
12363.0,110,2,552.0,2011-08-22 10:18:00,Unspecified,23,276.0
12364.0,8,4,1313.1,2011-12-02 10:22:00,Belgium,70,328.275
12365.0,291,2,641.38,2011-02-21 14:04:00,Cyprus,22,320.69
12367.0,4,1,168.9,2011-12-05 16:48:00,Denmark,11,168.9
12370.0,51,4,3545.69,2011-10-19 14:51:00,Cyprus,143,886.4225
12371.0,45,2,1887.96,2011-10-26 10:16:00,Switzerland,63,943.98
12372.0,72,3,1298.04,2011-09-29 12:12:00,Denmark,34,432.68
12373.0,311,1,364.6,2011-02-01 13:10:00,Austria,14,364.6
12374.0,25,1,742.93,2011-11-14 15:37:00,Austria,33,742.93
12375.0,11,2,457.5,2011-11-29 10:36:00,Finland,14,228.75
12377.0,315,2,1628.12,2011-01-28 15:45:00,Switzerland,72,814.06
