CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,Country,ProductDiversity,AvgBasketValue,SegmentExt
12346.0,326,1,77183.6,2011-01-18 10:01:00,United Kingdom,1,77183.6,2
12347.0,2,7,4310.0,2011-12-07 15:52:00,Iceland,103,615.7142857142857,1
12348.0,75,4,1797.24,2011-09-25 13:13:00,Finland,22,449.31,1
12349.0,19,1,1757.55,2011-11-21 09:51:00,Italy,73,1757.55,1
12350.0,310,1,334.4,2011-02-02 16:01:00,Norway,17,334.4,0
12352.0,36,8,2506.04,2011-11-03 14:37:00,Norway,59,313.255,1
12353.0,204,1,89.0,2011-05-19 17:47:00,Bahrain,4,89.0,0
12354.0,232,1,1079.4,2011-04-21 13:11:00,Spain,58,1079.4,0
12355.0,214,1,459.4,2011-05-09 13:49:00,Bahrain,13,459.4,0
12356.0,23,3,2811.43,2011-11-17 08:40:00,Portugal,53,937.1433333333332,1
12357.0,33,1,6207.67,2011-11-06 16:07:00,Switzerland,131,6207.67,1
12358.0,2,2,1168.06,2011-12-08 10:26:00,Austria,13,584.03,1
12359.0,58,4,6372.58,2011-10-13 12:47:00,Cyprus,214,1593.145,4
12360.0,52,3,2662.06,2011-10-18 15:22:00,Austria,105,887.3533333333334,1
12361.0,287,1,189.9,2011-02-25 13:51:00,Belgium,10,189.9,0
12362.0,3,10,5226.23,2011-12-06 15:40:00,Belgium,201,522.6229999999999,4
12363.0,110,2,552.0,2011-08-22 10:18:00,Unspecified,23,276.0,1
12364.0,8,4,1313.1,2011-12-02 10:22:00,Belgium,70,328.275,1
12365.0,291,2,641.38,2011-02-21 14:04:00,Cyprus,22,320.69,0
12367.0,4,1,168.9,2011-12-05 16:48:00,Denmark,11,168.9,1
12370.0,51,4,3545.69,2011-10-19 14:51:00,Cyprus,143,886.4225,1
12371.0,45,2,1887.96,2011-10-26 10:16:00,Switzerland,63,943.98,1
12372.0,72,3,1298.04,2011-09-29 12:12:00,Denmark,34,432.68,1
12373.0,311,1,364.6,2011-02-01 13:10:00,Austria,14,364.6,0
12374.0,25,1,742.93,2011-11-14 15:37:00,Austria,33,742.93,1
12375.0,11,2,457.5,2011-11-29 10:36:00,Finland,14,228.75,1
12377.0,315,2,1628.12,2011-01-28 15:45:00,Switzerland,72,814.06,0
12378.0,130,1,4008.62,2011-08-02 10:34:00,Switzerland,219,4008.62,4
12379.0,82,2,852.24,2011-09-19 10:09:00,Belgium,39,426.12,1
12380.0,22,4,2724.81,2011-11-18 11:27:00,Belgium,77,681.2025,1
12381.0,5,5,1845.31,2011-12-05 12:44:00,Norway,70,369.062,1
12383.0,185,5,1850.56,2011-06-08 08:02:00,Belgium,84,370.112,0
12384.0,29,2,585.27,2011-11-11 08:39:00,Switzerland,26,292.635,1
12386.0,338,2,401.9,2011-01-06 12:37:00,Australia,10,200.95,0
12388.0,16,6,2780.66,2011-11-24 12:30:00,Australia,57,463.4433333333333,1
12390.0,80,1,549.84,2011-09-21 09:33:00,Belgium,32,549.84,1
12391.0,22,1,460.89,2011-11-18 12:07:00,Cyprus,92,460.89,1
12393.0,72,4,1582.6,2011-09-28 15:41:00,Australia,47,395.65,1
12394.0,64,2,1272.48,2011-10-07 08:08:00,Belgium,26,636.24,1
12395.0,19,12,3018.63,2011-11-20 15:21:00,Belgium,91,251.5525,1
12397.0,36,2,2409.9,2011-11-04 09:52:00,Belgium,110,1204.95,1
12398.0,46,1,1635.66,2011-10-25 10:27:00,Switzerland,85,1635.66,1
12399.0,119,4,1108.65,2011-08-12 13:15:00,Belgium,47,277.1625,1
12401.0,303,1,84.3,2011-02-09 13:50:00,Belgium,5,84.3,0
12402.0,323,1,225.6,2011-01-20 13:49:00,Belgium,11,225.6,0
12403.0,50,1,427.7,2011-10-21 10:51:00,Denmark,5,427.7,1
12405.0,149,1,1710.39,2011-07-14 08:52:00,Finland,54,1710.39,0
12406.0,22,2,3415.3,2011-11-17 19:22:00,Denmark,92,1707.65,1
12407.0,50,5,1708.12,2011-10-21 10:11:00,Belgium,57,341.624,1
12408.0,33,5,2888.55,2011-11-07 12:27:00,Belgium,81,577.71,1
12409.0,79,3,11072.67,2011-09-22 10:38:00,Switzerland,91,3690.89,1
12410.0,309,2,693.33,2011-02-04 10:39:00,Switzerland,26,346.665,0
12412.0,75,3,1226.88,2011-09-26 10:16:00,Denmark,43,408.96,1
12413.0,67,3,758.1,2011-10-04 09:00:00,France,29,252.7,1
12414.0,217,3,562.41,2011-05-06 14:51:00,Austria,16,187.47,0
12415.0,24,21,124914.53,2011-11-15 14:22:00,Australia,444,5948.310952380953,3
12417.0,3,9,3649.1,2011-12-06 14:52:00,Belgium,158,405.4555555555555,4
12418.0,113,1,668.58,2011-08-19 11:08:00,Switzerland,34,668.58,1
12420.0,64,1,600.39,2011-10-07 08:55:00,Cyprus,29,600.39,1
12421.0,16,4,807.04,2011-11-24 09:07:00,Spain,32,201.76,1
12422.0,96,3,803.56,2011-09-05 09:48:00,Australia,39,267.8533333333333,1
12423.0,1,8,1859.31,2011-12-09 10:10:00,Belgium,97,232.41375,1
12424.0,163,2,1760.96,2011-06-30 12:06:00,Australia,30,880.48,0
12425.0,78,1,777.2,2011-09-22 17:31:00,Portugal,36,777.2,1
12426.0,195,1,582.73,2011-05-29 12:26:00,Germany,30,582.73,0
12427.0,22,3,825.8,2011-11-18 08:56:00,Germany,26,275.26666666666665,1
12428.0,26,9,7956.46,2011-11-14 08:22:00,Finland,258,884.0511111111111,4
12429.0,9,4,3750.4,2011-11-30 17:22:00,Denmark,82,937.6,1
12430.0,43,1,256.4,2011-10-27 15:09:00,Norway,11,256.4,1
12431.0,36,15,6487.45,2011-11-04 11:55:00,Australia,163,432.4966666666666,4
12432.0,43,5,5059.32,2011-10-28 11:43:00,Norway,107,1011.864,1
12433.0,1,7,13375.87,2011-12-09 10:02:00,Norway,219,1910.838571428572,4
12434.0,85,2,806.14,2011-09-16 12:38:00,Australia,46,403.07,1
12435.0,80,2,7829.89,2011-09-21 09:06:00,Denmark,31,3914.945,1
12436.0,100,1,509.01,2011-09-01 12:09:00,Norway,16,509.01,1
12437.0,2,18,4951.41,2011-12-08 11:35:00,France,119,275.0783333333333,4
12438.0,14,2,2906.85,2011-11-25 13:28:00,Norway,84,1453.425,1
12442.0,3,1,172.06,2011-12-06 14:22:00,Spain,12,172.06,1
12444.0,21,5,5005.46,2011-11-18 13:23:00,Norway,138,1001.092,1
12445.0,22,1,133.4,2011-11-17 18:43:00,Spain,4,133.4,1
12446.0,58,1,1002.31,2011-10-13 12:50:00,RSA,58,1002.31,1
12447.0,243,1,476.49,2011-04-10 13:25:00,Belgium,26,476.49,0
12448.0,44,1,449.45,2011-10-26 13:46:00,Spain,22,449.45,1
12449.0,22,4,4067.29,2011-11-17 13:46:00,Belgium,118,1016.8225,1
12450.0,156,2,197.88,2011-07-06 14:41:00,Spain,7,98.94,0
12451.0,11,5,9035.52,2011-11-29 08:40:00,Switzerland,265,1807.104,4
12452.0,17,2,430.57,2011-11-23 10:28:00,Switzerland,21,215.285,1
12453.0,134,1,707.09,2011-07-28 14:08:00,Austria,43,707.09,1
12454.0,56,1,3528.34,2011-10-14 17:13:00,Spain,15,3528.34,1
12455.0,73,6,2466.86,2011-09-27 15:31:00,Spain,85,411.1433333333334,1
12456.0,44,3,3181.04,2011-10-26 14:41:00,Switzerland,105,1060.3466666666666,1
